GeneName_A	GeneName_B	SRA	adj_p-value	Control_SRA	Treatment	Tissue	Cell	Complex_A	Core_or_Variant_A	DBD_B	TF_assessment_B	Binding_mode_B
CBP	NFE2L2	SRR9063864	2.6e-90	NONE	IFNg	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Obligate heteromer
CBP	NFIL3	SRR9063863	8.4e-57	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	NFIL3	SRR9063865	1.3e-21	NONE	LPS	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	NFIL3	SRR9063864	2e-33	NONE	IFNg	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	NFKB1	SRR9063863	3.3e-08	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Rel	Known motif	Monomer or homomultimer
CBP	NFKB1	SRR9063865	6e-08	NONE	LPS	peripheral blood	macrophages	CBP	NA	Rel	Known motif	Monomer or homomultimer
CBP	NFKB2	SRR9063865	1.2e-25	NONE	LPS	peripheral blood	macrophages	CBP	NA	Rel	Known motif	Monomer or homomultimer
CBP	NFKB2	SRR9063863	3.4e-31	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Rel	Known motif	Monomer or homomultimer
CBP	NKX2-3	SRR9063863	0.0086	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
CBP	NKX2-3	SRR9063864	0.00021	NONE	IFNg	peripheral blood	macrophages	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
CBP	NKX3-1	SRR9063864	2.2e-06	NONE	IFNg	peripheral blood	macrophages	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
CBP	NKX3-1	SRR9063866	0.0065	NONE	UT	peripheral blood	macrophages	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
CBP	NKX3-1	SRR9063863	6.6e-05	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
CBP	NKX3-2	SRR9063864	0.00025	NONE	IFNg	peripheral blood	macrophages	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
CBP	NKX3-2	SRR9063866	0.0029	NONE	UT	peripheral blood	macrophages	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
CBP	NKX3-2	SRR9063863	0.00037	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
CBP	NKX6-2	SRR9063865	0.0049	NONE	LPS	peripheral blood	macrophages	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
CBP	NPAS2	SRR9063866	0.008	NONE	UT	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	NPAS2	SRR9063864	1.7e-10	NONE	IFNg	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	NPAS2	SRR9063863	1.1e-09	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	NR1H4	SRR9063863	3.8e-12	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Nuclear receptor	Known motif	Monomer or homomultimer
CBP	NR1H4	SRR9063865	7e-09	NONE	LPS	peripheral blood	macrophages	CBP	NA	Nuclear receptor	Known motif	Monomer or homomultimer
CBP	NR2E1	SRR9063863	3e-50	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Nuclear receptor	Known motif	Monomer or homomultimer
CBP	NR2E1	SRR9063864	6.5e-20	NONE	IFNg	peripheral blood	macrophages	CBP	NA	Nuclear receptor	Known motif	Monomer or homomultimer
CBP	NR2E1	SRR9063865	1.5e-37	NONE	LPS	peripheral blood	macrophages	CBP	NA	Nuclear receptor	Known motif	Monomer or homomultimer
CBP	NR4A1	SRR9063863	0.0017	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Nuclear receptor	Known motif	Monomer or homomultimer
CBP	NRL	SRR9063866	3.6e-11	NONE	UT	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	NRL	SRR9063864	5.8e-36	NONE	IFNg	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	NRL	SRR9063863	1.7e-34	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	NRL	SRR9063865	1.3e-29	NONE	LPS	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	PAX2	SRR9063865	5.5e-93	NONE	LPS	peripheral blood	macrophages	CBP	NA	Homeodomain; Paired box	Known motif	Monomer or homomultimer
CBP	PAX2	SRR9063866	2e-08	NONE	UT	peripheral blood	macrophages	CBP	NA	Homeodomain; Paired box	Known motif	Monomer or homomultimer
CBP	PAX2	SRR9063863	5.3e-135	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Homeodomain; Paired box	Known motif	Monomer or homomultimer
CBP	PAX2	SRR9063864	1.4e-64	NONE	IFNg	peripheral blood	macrophages	CBP	NA	Homeodomain; Paired box	Known motif	Monomer or homomultimer
CBP	PAX6	SRR9063863	2.2e-13	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Homeodomain; Paired box	Known motif	Monomer or homomultimer
CBP	PAX6	SRR9063864	2.6e-07	NONE	IFNg	peripheral blood	macrophages	CBP	NA	Homeodomain; Paired box	Known motif	Monomer or homomultimer
CBP	PAX6	SRR9063865	5.8e-07	NONE	LPS	peripheral blood	macrophages	CBP	NA	Homeodomain; Paired box	Known motif	Monomer or homomultimer
CBP	PAX9	SRR9063865	0.009	NONE	LPS	peripheral blood	macrophages	CBP	NA	Paired box	Known motif	Monomer or homomultimer
CBP	PBX2	SRR9063863	2.2e-10	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
CBP	PBX2	SRR9063865	5.8e-06	NONE	LPS	peripheral blood	macrophages	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
CBP	PBX3	SRR9063863	1.4e-09	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
CBP	PBX3	SRR9063865	4.6e-07	NONE	LPS	peripheral blood	macrophages	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
CBP	POU1F1	SRR9063865	0.012	NONE	LPS	peripheral blood	macrophages	CBP	NA	Homeodomain; POU	Known motif	Monomer or homomultimer
CBP	POU2F1	SRR9063865	1.1e-06	NONE	LPS	peripheral blood	macrophages	CBP	NA	Homeodomain; POU	Known motif	Monomer or homomultimer
CBP	POU3F1	SRR9063865	0.0043	NONE	LPS	peripheral blood	macrophages	CBP	NA	Homeodomain; POU	Known motif	Monomer or homomultimer
CBP	POU3F2	SRR9063865	0.00011	NONE	LPS	peripheral blood	macrophages	CBP	NA	Homeodomain; POU	Known motif	Monomer or homomultimer
CBP	POU5F1	SRR9063865	0.0026	NONE	LPS	peripheral blood	macrophages	CBP	NA	Homeodomain; POU	Known motif	Monomer or homomultimer
CBP	POU5F1	SRR9063863	1.1e-07	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Homeodomain; POU	Known motif	Monomer or homomultimer
CBP	POU5F1	SRR9063863	0.014	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Homeodomain; POU	Known motif	Monomer or homomultimer
CBP	POU5F1	SRR9063865	2.3e-09	NONE	LPS	peripheral blood	macrophages	CBP	NA	Homeodomain; POU	Known motif	Monomer or homomultimer
CBP	POU5F1B	SRR9063865	0.0026	NONE	LPS	peripheral blood	macrophages	CBP	NA	Homeodomain; POU	Known motif	Monomer or homomultimer
CBP	POU5F1B	SRR9063865	2.7e-05	NONE	LPS	peripheral blood	macrophages	CBP	NA	Homeodomain; POU	Known motif	Monomer or homomultimer
CBP	POU5F1B	SRR9063863	0.014	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Homeodomain; POU	Known motif	Monomer or homomultimer
CBP	POU6F2	SRR9063865	0.016	NONE	LPS	peripheral blood	macrophages	CBP	NA	Homeodomain; POU	Known motif	Monomer or homomultimer
CBP	PRDM1	SRR9063865	6.6e-41	NONE	LPS	peripheral blood	macrophages	CBP	NA	C2H2 ZF	Known motif	Monomer or homomultimer
CBP	PRDM1	SRR9063863	5.6e-165	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	C2H2 ZF	Known motif	Monomer or homomultimer
CBP	PRDM1	SRR9063864	3e-124	NONE	IFNg	peripheral blood	macrophages	CBP	NA	C2H2 ZF	Known motif	Monomer or homomultimer
CBP	PRDM1	SRR9063866	1.2e-08	NONE	UT	peripheral blood	macrophages	CBP	NA	C2H2 ZF	Known motif	Monomer or homomultimer
CBP	RBPJ	SRR9063865	2e-14	NONE	LPS	peripheral blood	macrophages	CBP	NA	CSL	Known motif	Monomer or homomultimer
CBP	RBPJ	SRR9063864	1.2e-08	NONE	IFNg	peripheral blood	macrophages	CBP	NA	CSL	Known motif	Monomer or homomultimer
CBP	RBPJ	SRR9063863	1.2e-18	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	CSL	Known motif	Monomer or homomultimer
CBP	REL	SRR9063863	3.6e-80	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Rel	Known motif	Monomer or homomultimer
CBP	REL	SRR9063865	1.5e-73	NONE	LPS	peripheral blood	macrophages	CBP	NA	Rel	Known motif	Monomer or homomultimer
CBP	REL	SRR9063864	8e-25	NONE	IFNg	peripheral blood	macrophages	CBP	NA	Rel	Known motif	Monomer or homomultimer
CBP	RELA	SRR9063864	1.2e-46	NONE	IFNg	peripheral blood	macrophages	CBP	NA	Rel	Known motif	Monomer or homomultimer
CBP	RELA	SRR9063865	7.1e-102	NONE	LPS	peripheral blood	macrophages	CBP	NA	Rel	Known motif	Monomer or homomultimer
CBP	RELA	SRR9063863	4e-150	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Rel	Known motif	Monomer or homomultimer
CBP	RELB	SRR9063864	9.5e-29	NONE	IFNg	peripheral blood	macrophages	CBP	NA	Rel	Known motif	Obligate heteromer
CBP	RELB	SRR9063865	1.8e-45	NONE	LPS	peripheral blood	macrophages	CBP	NA	Rel	Known motif	Obligate heteromer
CBP	RELB	SRR9063866	0.00076	NONE	UT	peripheral blood	macrophages	CBP	NA	Rel	Known motif	Obligate heteromer
CBP	RELB	SRR9063863	3.3e-94	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Rel	Known motif	Obligate heteromer
CBP	RUNX1	SRR9063864	4.1e-37	NONE	IFNg	peripheral blood	macrophages	CBP	NA	Runt	Known motif	Monomer or homomultimer
CBP	RUNX1	SRR9063865	3.1e-12	NONE	LPS	peripheral blood	macrophages	CBP	NA	Runt	Known motif	Monomer or homomultimer
CBP	RUNX1	SRR9063866	1e-05	NONE	UT	peripheral blood	macrophages	CBP	NA	Runt	Known motif	Monomer or homomultimer
CBP	RUNX1	SRR9063863	3.6e-35	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Runt	Known motif	Monomer or homomultimer
CBP	RUNX2	SRR9063863	1.3e-64	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Runt	Known motif	Monomer or homomultimer
CBP	RUNX2	SRR9063865	4.8e-22	NONE	LPS	peripheral blood	macrophages	CBP	NA	Runt	Known motif	Monomer or homomultimer
CBP	RUNX2	SRR9063864	1.5e-58	NONE	IFNg	peripheral blood	macrophages	CBP	NA	Runt	Known motif	Monomer or homomultimer
CBP	RUNX2	SRR9063866	8.6e-11	NONE	UT	peripheral blood	macrophages	CBP	NA	Runt	Known motif	Monomer or homomultimer
CBP	RUNX3	SRR9063865	4.8e-25	NONE	LPS	peripheral blood	macrophages	CBP	NA	Runt	Known motif	Monomer or homomultimer
CBP	RUNX3	SRR9063863	1.5e-81	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Runt	Known motif	Monomer or homomultimer
CBP	RUNX3	SRR9063864	2.9e-69	NONE	IFNg	peripheral blood	macrophages	CBP	NA	Runt	Known motif	Monomer or homomultimer
CBP	RUNX3	SRR9063866	9e-12	NONE	UT	peripheral blood	macrophages	CBP	NA	Runt	Known motif	Monomer or homomultimer
CBP	SIX1	SRR9063863	9.6e-12	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
CBP	SIX1	SRR9063864	4e-09	NONE	IFNg	peripheral blood	macrophages	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
CBP	SIX2	SRR9063864	7.8e-18	NONE	IFNg	peripheral blood	macrophages	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
CBP	SIX2	SRR9063863	1.1e-22	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
CBP	SIX2	SRR9063865	5.5e-05	NONE	LPS	peripheral blood	macrophages	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
CBP	SOX17	SRR9063863	2.5e-06	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	HMG/Sox	Known motif	Monomer or homomultimer
CBP	SOX2	SRR9063863	0.014	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	HMG/Sox	Known motif	Monomer or homomultimer
CBP	SOX2	SRR9063865	0.0026	NONE	LPS	peripheral blood	macrophages	CBP	NA	HMG/Sox	Known motif	Monomer or homomultimer
CBP	SOX3	SRR9063863	1.4e-07	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	HMG/Sox	Known motif	Monomer or homomultimer
CBP	SOX3	SRR9063864	3.6e-06	NONE	IFNg	peripheral blood	macrophages	CBP	NA	HMG/Sox	Known motif	Monomer or homomultimer
CBP	SPDEF	SRR9063865	4.3e-37	NONE	LPS	peripheral blood	macrophages	CBP	NA	Ets	Known motif	Monomer or homomultimer
CBP	SPDEF	SRR9063864	3.8e-102	NONE	IFNg	peripheral blood	macrophages	CBP	NA	Ets	Known motif	Monomer or homomultimer
CBP	SPDEF	SRR9063863	4.5e-71	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Ets	Known motif	Monomer or homomultimer
CBP	SPDEF	SRR9063866	6.8e-10	NONE	UT	peripheral blood	macrophages	CBP	NA	Ets	Known motif	Monomer or homomultimer
CBP	SPI1	SRR9063866	4.9e-70	NONE	UT	peripheral blood	macrophages	CBP	NA	Ets	Known motif	Monomer or homomultimer
CBP	SPI1	SRR9063863	0	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Ets	Known motif	Monomer or homomultimer
CBP	SPI1	SRR9063865	1.6e-246	NONE	LPS	peripheral blood	macrophages	CBP	NA	Ets	Known motif	Monomer or homomultimer
CBP	SPI1	SRR9063864	0	NONE	IFNg	peripheral blood	macrophages	CBP	NA	Ets	Known motif	Monomer or homomultimer
CBP	SPIB	SRR9063866	1.9e-46	NONE	UT	peripheral blood	macrophages	CBP	NA	Ets	Known motif	Monomer or homomultimer
CBP	SPIB	SRR9063863	0	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Ets	Known motif	Monomer or homomultimer
CBP	SPIB	SRR9063865	1.6e-221	NONE	LPS	peripheral blood	macrophages	CBP	NA	Ets	Known motif	Monomer or homomultimer
CBP	SPIB	SRR9063864	0	NONE	IFNg	peripheral blood	macrophages	CBP	NA	Ets	Known motif	Monomer or homomultimer
CBP	SPIC	SRR9063865	4e-183	NONE	LPS	peripheral blood	macrophages	CBP	NA	Ets	Known motif	Monomer or homomultimer
CBP	SPIC	SRR9063863	0	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Ets	Known motif	Monomer or homomultimer
CBP	SPIC	SRR9063864	0	NONE	IFNg	peripheral blood	macrophages	CBP	NA	Ets	Known motif	Monomer or homomultimer
CBP	SPIC	SRR9063866	2.2e-43	NONE	UT	peripheral blood	macrophages	CBP	NA	Ets	Known motif	Monomer or homomultimer
CBP	SREBF1	SRR9063866	0.0031	NONE	UT	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	SREBF1	SRR9063864	2.3e-15	NONE	IFNg	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	SREBF1	SRR9063863	6e-07	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	SREBF2	SRR9063864	2e-15	NONE	IFNg	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	SREBF2	SRR9063863	1.5e-09	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	SREBF2	SRR9063866	0.012	NONE	UT	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	STAT1	SRR9063865	2e-34	NONE	LPS	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT1	SRR9063863	0	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT1	SRR9063866	0.014	NONE	UT	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT1	SRR9063863	2.3e-14	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT1	SRR9063865	6e-135	NONE	LPS	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT1	SRR9063866	3.6e-26	NONE	UT	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT1	SRR9063864	0	NONE	IFNg	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT1	SRR9063864	2e-24	NONE	IFNg	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT2	SRR9063866	3.6e-26	NONE	UT	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT2	SRR9063865	6e-135	NONE	LPS	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT2	SRR9063864	0	NONE	IFNg	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT2	SRR9063863	0	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT3	SRR9063864	1.4e-21	NONE	IFNg	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT3	SRR9063863	1.4e-15	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT3	SRR9063865	5.2e-45	NONE	LPS	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT4	SRR9063865	6.2e-37	NONE	LPS	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT4	SRR9063866	4.8e-05	NONE	UT	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT4	SRR9063863	2.8e-27	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT4	SRR9063864	1.8e-52	NONE	IFNg	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT5A	SRR9063864	1.9e-08	NONE	IFNg	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT5A	SRR9063865	8.6e-16	NONE	LPS	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT5A	SRR9063863	9.2e-07	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT5B	SRR9063864	1.9e-08	NONE	IFNg	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT5B	SRR9063865	8.6e-16	NONE	LPS	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT5B	SRR9063863	9.2e-07	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT6	SRR9063866	0.0036	NONE	UT	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT6	SRR9063865	4.8e-33	NONE	LPS	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT6	SRR9063864	2.9e-35	NONE	IFNg	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	STAT6	SRR9063863	7.5e-35	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	STAT	Known motif	Monomer or homomultimer
CBP	TBX19	SRR9063864	0.0028	NONE	IFNg	peripheral blood	macrophages	CBP	NA	T-box	Known motif	Monomer or homomultimer
CBP	TBX19	SRR9063863	0.00011	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	T-box	Known motif	Monomer or homomultimer
CBP	TCF21	SRR9063864	0.00046	NONE	IFNg	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	TCF7L2	SRR9063864	4e-04	NONE	IFNg	peripheral blood	macrophages	CBP	NA	HMG/Sox	Known motif	Monomer or homomultimer
CBP	TCF7L2	SRR9063865	0.003	NONE	LPS	peripheral blood	macrophages	CBP	NA	HMG/Sox	Known motif	Monomer or homomultimer
CBP	TCF7L2	SRR9063863	2e-07	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	HMG/Sox	Known motif	Monomer or homomultimer
CBP	TCFL5	SRR9063864	4.7e-07	NONE	IFNg	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	TEAD1	SRR9063863	0.0046	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	TEA	Known motif	Monomer or homomultimer
CBP	TEAD1	SRR9063865	0.017	NONE	LPS	peripheral blood	macrophages	CBP	NA	TEA	Known motif	Monomer or homomultimer
CBP	TEAD4	SRR9063865	0.00014	NONE	LPS	peripheral blood	macrophages	CBP	NA	TEA	Known motif	Monomer or homomultimer
CBP	TEF	SRR9063863	5.6e-127	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	TEF	SRR9063864	1.1e-92	NONE	IFNg	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	TEF	SRR9063865	2.6e-45	NONE	LPS	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	TFCP2	SRR9063866	0.012	NONE	UT	peripheral blood	macrophages	CBP	NA	Grainyhead	Known motif	Monomer or homomultimer
CBP	TFCP2	SRR9063863	5.9e-11	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Grainyhead	Known motif	Monomer or homomultimer
CBP	TFCP2	SRR9063864	4e-21	NONE	IFNg	peripheral blood	macrophages	CBP	NA	Grainyhead	Known motif	Monomer or homomultimer
CBP	TFE3	SRR9063865	1.7e-24	NONE	LPS	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	TFE3	SRR9063863	4.2e-71	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	TFE3	SRR9063864	6.4e-65	NONE	IFNg	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	TFE3	SRR9063866	3.6e-11	NONE	UT	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	TFEB	SRR9063865	5.1e-09	NONE	LPS	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	TFEB	SRR9063863	3.1e-41	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	TFEB	SRR9063866	2.1e-07	NONE	UT	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	TFEB	SRR9063864	9.9e-49	NONE	IFNg	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	TFEC	SRR9063866	0.00073	NONE	UT	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	TFEC	SRR9063863	2e-23	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	TFEC	SRR9063865	7.7e-08	NONE	LPS	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	TFEC	SRR9063864	2.6e-24	NONE	IFNg	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	TWIST2	SRR9063864	2.2e-31	NONE	IFNg	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	TWIST2	SRR9063866	0.0088	NONE	UT	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	TWIST2	SRR9063863	2.9e-22	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	TWIST2	SRR9063865	5.7e-10	NONE	LPS	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	USF1	SRR9063864	4.8e-33	NONE	IFNg	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	USF1	SRR9063865	2.6e-05	NONE	LPS	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	USF1	SRR9063863	8e-26	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	USF2	SRR9063865	3.8e-06	NONE	LPS	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	USF2	SRR9063863	4e-27	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	USF2	SRR9063864	3.4e-41	NONE	IFNg	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	USF2	SRR9063866	5.3e-06	NONE	UT	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	VAX1	SRR9063865	1.3e-05	NONE	LPS	peripheral blood	macrophages	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
CBP	VAX2	SRR9063865	3e-12	NONE	LPS	peripheral blood	macrophages	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
CBP	VAX2	SRR9063863	8.7e-08	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
CBP	XBP1	SRR9063863	3.8e-30	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	XBP1	SRR9063864	4e-20	NONE	IFNg	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	XBP1	SRR9063865	1.3e-18	NONE	LPS	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	XBP1	SRR9063866	2.7e-09	NONE	UT	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	ZBTB33	SRR9063864	6e-04	NONE	IFNg	peripheral blood	macrophages	CBP	NA	C2H2 ZF	Known motif	Monomer or homomultimer
